0	0
1	0.841471
2	1.81859
3	0.42336
4	-3.02721
5	-4.79462
6	-1.67649
7	4.59891
8	7.91487
9	3.70907
10	-5.44021
11	-10.9999
12	-6.43888
13	5.46217
14	13.8685
15	9.75432
16	-4.60645
17	-16.3438
18	-13.5178
19	2.84767
20	18.2589
21	17.5698
22	-0.194729
23	-19.4631
24	-21.7339
25	-3.30879
26	19.8265
27	25.8222
28	7.58536
29	-19.2454
30	-29.6409
31	-12.5252
32	17.6457
33	32.9971
34	17.9888
35	-14.9864
36	-35.704
37	-23.8109
38	11.262
39	37.588
40	29.8045
41	-6.50353
42	-38.4939
43	-35.7663
44	0.778885
45	38.2907
46	41.4823
47	5.80794
48	-36.8762
49	-46.7339
50	-13.1187
51	34.1817
52	51.3046
53	20.984
54	-30.1746
55	-54.9865
56	-29.2069
57	24.8614
58	57.5866
59	37.5675
60	-18.2886
61	-58.9332
62	-45.8292
63	10.5434
64	58.8817
65	53.7439
66	-1.75238
67	-57.3198
68	-61.0591
69	-7.92015
70	54.1723
71	67.5249
72	18.2753
73	-49.4044
74	-72.9008
75	-29.0836
76	43.0242
77	76.9631
78	40.0903
79	-35.0849
80	-79.5111
81	-51.0209
82	25.6848
83	80.3743
84	61.588
85	-14.9664
86	-79.4174
87	-71.4982
88	3.11505
89	76.5462
90	80.4597
91	9.64486
92	-71.7109
93	-88.1902
94	-23.0537
95	64.9099
96	94.4244
97	36.822
98	-56.1914
99	-98.9215
100	-50.6366
